group n= 10	cellName	userInput
YORF452693	 1	YORF452693	no info
YORF845321	 2	YORF845321	no info
YORF241357	 2	YORF241357	no info
YORF418637	 3	YORF418637	no info
YORF274968	 1	YORF274968	no info
YORF917384	 4	YORF917384	no info
YORF865327	 5	YORF865327	no info
YORF962571	 2	YORF962571	no info
YORF321784	 2	YORF321784	no info
YORF726815	 6	YORF726815	no info
YORF853947	 7	YORF853947	no info
YORF358946	 7	YORF358946	no info
YORF983264	 6	YORF983264	no info
YORF423197	 6	YORF423197	no info
YORF312987	 8	YORF312987	no info
YORF245789	 9	YORF245789	no info
YORF852173	 1	YORF852173	no info
YORF729864	 1	YORF729864	no info
YORF653927	 7	YORF653927	no info
YORF639812	 8	YORF639812	no info
YORF537816	 6	YORF537816	no info
YORF531628	 4	YORF531628	no info
YORF695387	 5	YORF695387	no info
YORF935648	 6	YORF935648	no info
YORF286743	10	YORF286743	no info
YORF928471	10	YORF928471	no info
YORF916278	 6	YORF916278	no info
YORF927156	 9	YORF927156	no info
YORF245981	 7	YORF245981	no info
YORF493512	 6	YORF493512	no info
YORF286391	 8	YORF286391	no info
YORF571439	 8	YORF571439	no info
YORF514826	 1	YORF514826	no info
YORF739845	 1	YORF739845	no info
YORF279318	 3	YORF279318	no info
YORF315684	 3	YORF315684	no info
YORF789124	 8	YORF789124	no info
YORF681359	 6	YORF681359	no info
YORF675891	 8	YORF675891	no info
YORF296431	 5	YORF296431	no info
YORF892567	 8	YORF892567	no info
YORF914736	 8	YORF914736	no info
YORF315278	10	YORF315278	no info
YORF791358	 8	YORF791358	no info
YORF275148	 3	YORF275148	no info
YORF574318	 6	YORF574318	no info
YORF271839	 2	YORF271839	no info
YORF678154	 2	YORF678154	no info
YORF983514	 3	YORF983514	no info
YORF287534	 7	YORF287534	no info
YORF624187	 9	YORF624187	no info
YORF468395	 9	YORF468395	no info
YORF574369	 5	YORF574369	no info
YORF568312	 6	YORF568312	no info
YORF675849	 6	YORF675849	no info
YORF285649	 3	YORF285649	no info
YORF136975	 1	YORF136975	no info
YORF493685	 9	YORF493685	no info
YORF453729	 5	YORF453729	no info
YORF983465	 5	YORF983465	no info
YORF152978	 8	YORF152978	no info
YORF764218	 9	YORF764218	no info
YORF564837	 3	YORF564837	no info
YORF425389	 1	YORF425389	no info
YORF948351	 5	YORF948351	no info
YORF145389	 9	YORF145389	no info
YORF183429	 9	YORF183429	no info
YORF621358	 5	YORF621358	no info
YORF396281	 5	YORF396281	no info
YORF394251	10	YORF394251	no info
YORF146539	 5	YORF146539	no info
YORF368517	 5	YORF368517	no info
YORF924781	 7	YORF924781	no info
YORF469257	 4	YORF469257	no info
YORF619352	 5	YORF619352	no info
YORF461729	 4	YORF461729	no info
YORF527189	 8	YORF527189	no info
YORF273541	 5	YORF273541	no info
YORF328751	 2	YORF328751	no info
YORF169543	 5	YORF169543	no info
YORF347892	10	YORF347892	no info
YORF861295	 6	YORF861295	no info
YORF347296	 4	YORF347296	no info
YORF673298	 8	YORF673298	no info
YORF674198	 8	YORF674198	no info
YORF183694	10	YORF183694	no info
YORF485123	 9	YORF485123	no info
YORF423651	 8	YORF423651	no info
YORF467391	 1	YORF467391	no info
YORF913742	 1	YORF913742	no info
YORF536821	10	YORF536821	no info
YORF698341	 1	YORF698341	no info
YORF349517	 1	YORF349517	no info
YORF369527	 6	YORF369527	no info
YORF572941	 3	YORF572941	no info
YORF364897	 8	YORF364897	no info
YORF849127	 8	YORF849127	no info
YORF641795	 9	YORF641795	no info
YORF532698	 8	YORF532698	no info
YORF783594	 1	YORF783594	no info
YORF694128	 7	YORF694128	no info
YORF142583	 6	YORF142583	no info
YORF639172	 2	YORF639172	no info
YORF214839	 7	YORF214839	no info
YORF864521	 7	YORF864521	no info
YORF219867	 3	YORF219867	no info
YORF465291	 1	YORF465291	no info
YORF169328	 9	YORF169328	no info
YORF653278	 1	YORF653278	no info
YORF317285	 5	YORF317285	no info
YORF741239	 8	YORF741239	no info
YORF837562	 6	YORF837562	no info
YORF247169	10	YORF247169	no info
YORF476581	 8	YORF476581	no info
YORF937864	 3	YORF937864	no info
YORF912356	 9	YORF912356	no info
YORF847965	 3	YORF847965	no info
YORF416597	 5	YORF416597	no info
YORF869314	 5	YORF869314	no info
YORF612359	 6	YORF612359	no info
YORF647512	 3	YORF647512	no info
YORF796481	 1	YORF796481	no info
YORF156328	 8	YORF156328	no info
YORF391547	 3	YORF391547	no info
YORF746829	 8	YORF746829	no info
YORF287693	 6	YORF287693	no info
YORF546371	 5	YORF546371	no info
YORF763852	 7	YORF763852	no info
YORF728936	 6	YORF728936	no info
YORF345628	 7	YORF345628	no info
YORF517462	 3	YORF517462	no info
YORF326591	 1	YORF326591	no info
YORF458293	 4	YORF458293	no info
YORF538174	 1	YORF538174	no info
YORF492871	 7	YORF492871	no info
YORF527613	 3	YORF527613	no info
YORF451639	 6	YORF451639	no info
YORF592738	 1	YORF592738	no info
YORF157342	 8	YORF157342	no info
YORF658417	 8	YORF658417	no info
YORF157923	 3	YORF157923	no info
YORF298576	 6	YORF298576	no info
YORF584127	 6	YORF584127	no info
YORF732186	 9	YORF732186	no info
YORF972516	 1	YORF972516	no info
YORF462738	 3	YORF462738	no info
YORF918265	 9	YORF918265	no info
YORF419785	 4	YORF419785	no info
YORF154387	 4	YORF154387	no info
YORF127583	 1	YORF127583	no info
YORF596371	 3	YORF596371	no info
YORF986725	 6	YORF986725	no info
YORF357149	 5	YORF357149	no info
YORF683197	 8	YORF683197	no info
YORF632718	10	YORF632718	no info
YORF368479	 6	YORF368479	no info
YORF819652	 8	YORF819652	no info
YORF761234	10	YORF761234	no info
YORF584916	 4	YORF584916	no info
YORF817625	 6	YORF817625	no info
YORF718235	 6	YORF718235	no info
YORF178926	 6	YORF178926	no info
YORF587413	 9	YORF587413	no info
YORF617984	 1	YORF617984	no info
YORF168759	 7	YORF168759	no info
